row_id,product_id,product_name,category,Subcategory
40098,TEC-PH-5816,Samsung Convoy 3,Technology,Phones
26341,FUR-CH-5379,"Novimex Executive Leather Armchair, Black",Furniture,Chairs
25330,TEC-PH-5356,"Nokia Smart Phone, with Caller ID",Technology,Phones
13524,TEC-PH-5267,"Motorola Smart Phone, Cordless",Technology,Phones
47221,TEC-CO-6011,"Sharp Wireless Fax, High-Speed",Technology,Copiers
22732,TEC-PH-5842,"Samsung Smart Phone, with Caller ID",Technology,Phones
30570,FUR-CH-5378,"Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs
31192,FUR-TA-3764,"Chromcraft Conference Table, Fully Assembled",Furniture,Tables
40099,FUR-BO-5957,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,Bookcases
36258,FUR-CH-4421,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs
36259,OFF-AR-5309,Newell 330,Office Supplies,Art
28879,FUR-TA-3420,"Bevis Conference Table, Fully Assembled",Furniture,Tables
45794,TEC-PH-3807,"Cisco Smart Phone, with Caller ID",Technology,Phones
4132,FUR-CH-4530,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs
27704,OFF-AP-4959,"KitchenAid Microwave, White",Office Supplies,Appliances
13779,OFF-AP-3575,"Breville Refrigerator, Red",Office Supplies,Appliances
39519,OFF-ST-3078,Akro Stacking Bins,Office Supplies,Storage
12069,OFF-AP-4743,"Hoover Stove, Red",Office Supplies,Appliances
22096,TEC-CO-3597,"Brother Fax Machine, High-Speed",Technology,Copiers
49463,OFF-AP-4967,"KitchenAid Stove, White",Office Supplies,Appliances
46630,FUR-TA-4644,"Hon Computer Table, with Bottom Storage",Furniture,Tables
36260,OFF-ST-3744,"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,Storage
21586,FUR-CH-5774,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs
13528,OFF-AP-4960,"KitchenAid Refrigerator, Black",Office Supplies,Appliances
1570,TEC-PH-5268,"Motorola Smart Phone, Full Size",Technology,Phones
3484,FUR-TA-4643,"Hon Computer Table, Fully Assembled",Furniture,Tables
30191,FUR-TA-5060,"Lesro Conference Table, with Bottom Storage",Furniture,Tables
11645,OFF-AP-4743,"Hoover Stove, Red",Office Supplies,Appliances
38460,OFF-FA-6129,Staples,Office Supplies,Fasteners
22999,FUR-CH-5443,"Office Star Executive Leather Armchair, Red",Furniture,Chairs
220,TEC-PH-5841,"Samsung Smart Phone, VoIP",Technology,Phones
10648,TEC-MA-5503,"Okidata Inkjet, Wireless",Technology,Machines
40977,TEC-PH-4389,Geemarc AmpliPOWER60,Technology,Phones
21286,OFF-AP-3579,"Breville Stove, Red",Office Supplies,Appliances
40976,OFF-ST-4291,Fellowes Super Stor/Drawer Files,Office Supplies,Storage
47905,TEC-PH-3148,"Apple Smart Phone, Full Size",Technology,Phones
36651,FUR-CH-4840,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Furniture,Chairs
40100,TEC-AC-6340,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",Technology,Accessories
15380,TEC-CO-3598,"Brother Fax Machine, Laser",Technology,Copiers
28046,TEC-PH-5356,"Nokia Smart Phone, with Caller ID",Technology,Phones
21316,TEC-PH-5268,"Motorola Smart Phone, Full Size",Technology,Phones
29272,TEC-PH-5269,"Motorola Smart Phone, with Caller ID",Technology,Phones
25795,FUR-BO-5951,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases
16681,TEC-PH-5267,"Motorola Smart Phone, Cordless",Technology,Phones
15953,OFF-AP-3874,"Cuisinart Stove, Silver",Office Supplies,Appliances
34608,FUR-FU-4072,"Eldon Image Series Desk Accessories, Ebony",Furniture,Furnishings
13847,FUR-CH-5441,"Office Star Executive Leather Armchair, Adjustable",Furniture,Chairs
24341,FUR-CH-5380,"Novimex Executive Leather Armchair, Red",Furniture,Chairs
28701,TEC-MA-5007,"Konica Inkjet, White",Technology,Machines
6550,FUR-CH-4531,"Harbour Creations Executive Leather Armchair, Black",Furniture,Chairs
37425,OFF-BI-4372,GBC VeloBind Cover Sets,Office Supplies,Binders
48360,TEC-CO-3678,"Canon Copy Machine, Color",Technology,Copiers
40101,OFF-LA-3231,Avery 51,Office Supplies,Labels
30190,FUR-BO-5762,"Safco Classic Bookcase, Pine",Furniture,Bookcases
42336,TEC-PH-5269,"Motorola Smart Phone, with Caller ID",Technology,Phones
29047,TEC-CO-4590,"Hewlett Wireless Fax, Color",Technology,Copiers
38461,OFF-BI-2937,"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders
29601,FUR-TA-3766,"Chromcraft Conference Table, with Bottom Storage",Furniture,Tables
23499,OFF-AP-3577,"Breville Refrigerator, White",Office Supplies,Appliances
36652,OFF-PA-4014,EcoTones Memo Sheets,Office Supplies,Paper
26634,FUR-BO-5760,"Safco Classic Bookcase, Metal",Furniture,Bookcases
34496,OFF-AR-3276,Avery Fluorescent Highlighter Four-Color Set,Office Supplies,Art
10522,TEC-PH-5839,"Samsung Smart Phone, Cordless",Technology,Phones
10549,TEC-PH-3130,"Apple Audio Dock, with Caller ID",Technology,Phones
25314,FUR-CH-5774,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs
32637,TEC-MA-3788,Cisco CP-7937G Unified IP Conference Station Phone,Technology,Machines
16653,FUR-BO-5760,"Safco Classic Bookcase, Metal",Furniture,Bookcases
28932,FUR-TA-3779,"Chromcraft Wood Table, Rectangular",Furniture,Tables
8029,TEC-PH-5839,"Samsung Smart Phone, Cordless",Technology,Phones
50411,FUR-TA-3771,"Chromcraft Round Table, Rectangular",Furniture,Tables
21191,FUR-CH-4530,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs
4960,OFF-AP-4497,"Hamilton Beach Microwave, Black",Office Supplies,Appliances
49085,FUR-CH-4530,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs
21209,FUR-TA-3422,"Bevis Conference Table, with Bottom Storage",Furniture,Tables
12161,TEC-PH-5355,"Nokia Smart Phone, Full Size",Technology,Phones
25438,TEC-PH-3147,"Apple Smart Phone, Cordless",Technology,Phones
33130,TEC-MA-3329,Bady BDG101FRU Card Printer,Technology,Machines
16988,TEC-CO-3599,"Brother Ink, Color",Technology,Copiers
24443,TEC-CO-6010,"Sharp Wireless Fax, Digital",Technology,Copiers
30199,FUR-CH-5380,"Novimex Executive Leather Armchair, Red",Furniture,Chairs
13879,FUR-CH-4654,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs
50788,TEC-CO-3710,"Canon Wireless Fax, Laser",Technology,Copiers
40834,FUR-BO-3176,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases
40425,OFF-BI-3324,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Office Supplies,Binders
18241,TEC-PH-5268,"Motorola Smart Phone, Full Size",Technology,Phones
23013,OFF-AP-4501,"Hamilton Beach Refrigerator, Black",Office Supplies,Appliances
45616,OFF-AP-4745,"Hoover Stove, White",Office Supplies,Appliances
25026,TEC-CO-3611,"Brother Wireless Fax, Laser",Technology,Copiers
27962,FUR-BO-4849,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases
26669,TEC-CO-3678,"Canon Copy Machine, Color",Technology,Copiers
29600,TEC-PH-5356,"Nokia Smart Phone, with Caller ID",Technology,Phones
34336,FUR-TA-5066,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Furniture,Tables
19195,OFF-AP-4508,"Hamilton Beach Stove, White",Office Supplies,Appliances
32639,OFF-BI-3308,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders
